borough,code,library,year,loans,digital,members,books,music,audiobooks,movies,videogames,all.others,librarians,others,staff.total,surface,hours
Côte-des-Neiges–Notre-Dame-de-Grâce,c56,Benny,2015,139024,934,6603,41146,0,648,1581,2,2231,2.5,7.751098901,10.2510989,373.82,46
Côte-des-Neiges–Notre-Dame-de-Grâce,q56,Benny Farm,2015,,,,65422,3466,1229,3263,385,8343,,,,,
Côte-des-Neiges–Notre-Dame-de-Grâce,c57,Côte-des-Neiges,2015,256581,1275,8520,116976,0,867,5071,328,6266,2.6,18.75714286,21.35714286,1662.23,46
Côte-des-Neiges–Notre-Dame-de-Grâce,c58,Interculturelle,2015,191248,1202,10154,113374,3563,2066,5920,333,11882,4.571428571,17.22857143,21.8,2450.63,46
Côte-des-Neiges–Notre-Dame-de-Grâce,c59,Notre-Dame-de-Grâce,2015,158147,585,5603,55055,1,762,3782,0,4545,1.657142857,7.721428571,9.378571429,707.25,46
L’Île-Bizard–Sainte-Geneviève,i90,L'Île-Bizard,2015,66399,1372,4511,52226,4449,210,2955,0,7614,1,5.47967033,6.47967033,646.81,60
Lachine,b69,Saint-Pierre,2015,27724,228,2681,20982,797,66,1277,215,2355,0,2.354395604,2.354395604,546.1,53
Lachine,b68,Saul-Bellow,2015,190121,2888,10849,80446,2858,847,2885,207,6797,4,7.895604396,11.8956044,1295,71
LaSalle,l71,L'Octogone,2015,506829,3988,28576,207056,5428,1184,10385,536,17533,7,26.73076923,33.73076923,2663,65
Mercier–Hochelaga-Maisonneuve,h26,Hochelaga,2015,57906,54,752,27476,499,24,1404,0,1927,2.285714286,2.978571429,5.264285714,371.8,35
Mercier–Hochelaga-Maisonneuve,h27,Langelier,2015,271348,4002,9095,60693,2688,614,6229,690,10221,3.342857143,11.92857143,15.27142857,1182.2,53
Mercier–Hochelaga-Maisonneuve,h29,Maisonneuve,2015,235491,2726,8346,55518,4899,310,9450,0,14659,3.263736264,9.39010989,12.65384615,814.55,53
Mercier–Hochelaga-Maisonneuve,h28,Mercier,2015,186794,4926,9640,69877,3485,285,4952,322,9044,2,11.32692308,13.32692308,1465.5,53
Montréal-Nord,m18,Belleville,2015,64119,1083,4847,33683,1589,81,2243,0,3913,0,3.735714286,3.735714286,281.4,58
Montréal-Nord,m19,Charleroi,2015,79045,991,3875,86199,4007,511,4889,248,9655,0,7.571428571,7.571428571,585.4,58
Montréal-Nord,m17,Henri-Bourassa,2015,184349,987,6048,50197,1515,272,3587,843,6217,2,26.84175824,28.84175824,1317.5,66
Montréal-Nord,m20,Maison culturelle et communautaire,2015,122355,929,6089,42220,1623,231,2494,185,4533,1,10.53571429,11.53571429,701.3,66
Outremont,o45,Robert-Bourassa,2015,148972,2252,6900,74574,3389,669,2311,128,6497,3,9.586813187,12.58681319,1492.2,56
